ก	0.04888238	
ก.	4.624634E-4
ก. 	1.5415446E-5
ก. เ	1.5415446E-5
ก.ก	1.5415446E-5
ก.ก.	1.5415446E-5
ก.ข	1.5415446E-5
ก.ข.	1.5415446E-5
ก.ค	4.624634E-5
ก.ค.	3.083089E-5
ก.คล	1.5415446E-5
ก.จ	1.5415446E-5
ก.จ.	1.5415446E-5
ก.ต	6.166178E-5
ก.ต.	3.083089E-5
ก.ตร	1.5415446E-5
ก.ต่	1.5415446E-5
ก.ท	3.083089E-5
ก.ท.	1.5415446E-5
ก.ทร	1.5415446E-5
ก.พ	4.624634E-5
ก.พ.	3.083089E-5
ก.พา	1.5415446E-5
ก.ม	1.5415446E-5
ก.ม.	1.5415446E-5
ก.ย	3.083089E-5
ก.ย.	1.5415446E-5
ก.ยุ	1.5415446E-5
ก.ล	1.5415446E-5
ก.ล.	1.5415446E-5
ก.ว	1.5415446E-5
ก.วั	1.5415446E-5
ก.ศ	3.083089E-5
ก.ศ.	1.5415446E-5
ก.ศึ	1.5415446E-5
ก.ส	1.5415446E-5
ก.สา	1.5415446E-5
ก.อ	1.5415446E-5
ก.อ.	1.5415446E-5
ก.เ	3.083089E-5
ก.เก	3.083089E-5
ก.แ	1.5415446E-5
ก.แร	1.5415446E-5
ก.ไ	1.5415446E-5
ก.ไอ	1.5415446E-5
กก	4.1621705E-4
กก.	1.0790813E-4
กก.ต	1.5415446E-5
กก.บ	1.5415446E-5
กก.ป	1.5415446E-5
กก.ส	4.624634E-5
กกก	1.5415446E-5
กกช	3.083089E-5
กกช.	3.083089E-5
กกต	7.707723E-5
กกต.	7.707723E-5
กกถ	1.5415446E-5
กกถ.	1.5415446E-5
กกท	1.5415446E-5
กกท.	1.5415446E-5
กกพ	1.5415446E-5
กกร	1.5415446E-5
กกร.	1.5415446E-5
กกล	6.166178E-5
กกล.	4.624634E-5
กกห	1.5415446E-5
กกหู	1.5415446E-5
กกอ	1.5415446E-5
กกอ.	1.5415446E-5
กกะ	1.5415446E-5
กข	3.083089E-5
กข.	1.5415446E-5
กค	6.166178E-5
กค.	1.5415446E-5
กคช	1.5415446E-5
กคช.	1.5415446E-5
กคพ	1.5415446E-5
กคพ.	1.5415446E-5
กง	1.5415446E-4
กงก	3.083089E-5
กงกร	1.5415446E-5
กงกา	1.5415446E-5
กงจ	3.083089E-5
กงจั	1.5415446E-5
กงจื	1.5415446E-5
กงพ	1.5415446E-5
